id,name,createtime,dim1,dim2,dim3,member
x00254,³¬¼¶°ô254,1647744254,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00254
x00255,³¬¼¶°ô255,1647744255,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00255
x00256,³¬¼¶°ô256,1647744256,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00256
x00257,³¬¼¶°ô257,1647744257,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00257
x00258,³¬¼¶°ô258,1647744258,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00258
x00259,³¬¼¶°ô259,1647744259,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00259
x00260,³¬¼¶°ô260,1647744260,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00260
x00261,³¬¼¶°ô261,1647744261,dim1a,dim2a,dim3b,dim1a-dim2a-dim3b--x00261
x00262,³¬¼¶°ô262,1647744262,dim1a,dim2a,dim3b,dim1a-dim2a-dim3b--x00262
x00263,³¬¼¶°ô263,1647744263,dim1a,dim2a,dim3b,dim1a-dim2a-dim3b--x00263
x00264,³¬¼¶°ô264,1647744264,dim1b,dim2a,dim3b,dim1b-dim2a-dim3b--x00264
x00265,³¬¼¶°ô265,1647744265,dim1b,dim2a,dim3b,dim1b-dim2a-dim3b--x00265
x00266,³¬¼¶°ô266,1647744266,dim1a,dim2c,dim3b,dim1a-dim2c-dim3b--x00266
x00267,³¬¼¶°ô267,1647744267,dim1a,dim2c,dim3b,dim1a-dim2c-dim3b--x00267
x00268,³¬¼¶°ô268,1647744268,dim1a,dim2a,dim3b,dim1a-dim2a-dim3b--x00268
x00269,³¬¼¶°ô269,1647744269,dim1a,dim2a,dim3b,dim1a-dim2a-dim3b--x00269
x00270,³¬¼¶°ô270,1647744270,dim1b,dim2a,dim3b,dim1b-dim2a-dim3b--x00270
x00271,³¬¼¶°ô271,1647744271,dim1a,dim2a,dim3b,dim1a-dim2a-dim3b--x00271
x00272,³¬¼¶°ô272,1647744272,dim1a,dim2c,dim3b,dim1a-dim2c-dim3b--x00272
x00273,³¬¼¶°ô273,1647744273,dim1a,dim2c,dim3c,dim1a-dim2c-dim3c--x00273
x00274,³¬¼¶°ô274,1647744274,dim1a,dim2c,dim3a,dim1a-dim2c-dim3a--x00274
x00275,³¬¼¶°ô275,1647744275,dim1a,dim2c,dim3a,dim1a-dim2c-dim3a--x00275
x00276,³¬¼¶°ô276,1647744276,dim1a,dim2c,dim3a,dim1a-dim2c-dim3a--x00276
x00277,³¬¼¶°ô277,1647744277,dim1a,dim2d,dim3a,dim1a-dim2d-dim3a--x00277
x00278,³¬¼¶°ô278,1647744278,dim1b,dim2d,dim3a,dim1b-dim2d-dim3a--x00278
x00279,³¬¼¶°ô279,1647744279,dim1b,dim2d,dim3a,dim1b-dim2d-dim3a--x00279
x00280,³¬¼¶°ô280,1647744280,dim1a,dim2d,dim3a,dim1a-dim2d-dim3a--x00280
x00281,³¬¼¶°ô281,1647744281,dim1a,dim2d,dim3a,dim1a-dim2d-dim3a--x00281
x00282,³¬¼¶°ô282,1647744282,dim1a,dim2b,dim3a,dim1a-dim2b-dim3a--x00282
x00283,³¬¼¶°ô283,1647744283,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00283
x00284,³¬¼¶°ô284,1647744284,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00284
x00285,³¬¼¶°ô285,1647744285,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00285
x00286,³¬¼¶°ô286,1647744286,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00286
x00287,³¬¼¶°ô287,1647744287,dim1b,dim2b,dim3b,dim1b-dim2b-dim3b--x00287
x00288,³¬¼¶°ô288,1647744288,dim1b,dim2b,dim3b,dim1b-dim2b-dim3b--x00288
x00289,³¬¼¶°ô289,1647744289,dim1a,dim2a,dim3b,dim1a-dim2a-dim3b--x00289
x00290,³¬¼¶°ô290,1647744290,dim1a,dim2a,dim3b,dim1a-dim2a-dim3b--x00290
x00291,³¬¼¶°ô291,1647744291,dim1a,dim2a,dim3b,dim1a-dim2a-dim3b--x00291
x00292,³¬¼¶°ô292,1647744292,dim1b,dim2a,dim3b,dim1b-dim2a-dim3b--x00292
x00293,³¬¼¶°ô293,1647744293,dim1b,dim2a,dim3b,dim1b-dim2a-dim3b--x00293
x00294,³¬¼¶°ô294,1647744294,dim1a,dim2a,dim3b,dim1a-dim2a-dim3b--x00294
x00295,³¬¼¶°ô295,1647744295,dim1a,dim2a,dim3c,dim1a-dim2a-dim3c--x00295
x00296,³¬¼¶°ô296,1647744296,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00296
x00297,³¬¼¶°ô297,1647744297,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00297
x00298,³¬¼¶°ô298,1647744298,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00298
x00299,³¬¼¶°ô299,1647744299,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00299
x00300,³¬¼¶°ô300,1647744300,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00300
x00301,³¬¼¶°ô301,1647744301,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00301
x00302,³¬¼¶°ô302,1647744302,dim1a,dim2a,dim3a,dim1a-dim2a-dim3a--x00302
x00303,³¬¼¶°ô303,1647744303,dim1a,dim2c,dim3a,dim1a-dim2c-dim3a--x00303
x00304,³¬¼¶°ô304,1647744304,dim1a,dim2c,dim3a,dim1a-dim2c-dim3a--x00304
x00305,³¬¼¶°ô305,1647744305,dim1a,dim2c,dim3b,dim1a-dim2c-dim3b--x00305
x00306,³¬¼¶°ô306,1647744306,dim1b,dim2c,dim3b,dim1b-dim2c-dim3b--x00306
x00307,³¬¼¶°ô307,1647744307,dim1b,dim2c,dim3b,dim1b-dim2c-dim3b--x00307
x00308,³¬¼¶°ô308,1647744308,dim1a,dim2d,dim3b,dim1a-dim2d-dim3b--x00308
x00309,³¬¼¶°ô309,1647744309,dim1a,dim2d,dim3b,dim1a-dim2d-dim3b--x00309
x00310,³¬¼¶°ô310,1647744310,dim1a,dim2d,dim3b,dim1a-dim2d-dim3b--x00310
x00311,³¬¼¶°ô311,1647744311,dim1a,dim2d,dim3b,dim1a-dim2d-dim3b--x00311
